ESTU_DEPTO_RESIDE;FAMI_ESTRATOVIVIENDA;Q_ESTUDIANTES;PROMEDIO_PUNT_GLOBAL
BOGOTÁ;Estrato 1;7568; 244 
BOGOTÁ;Estrato 2;35119; 259 
BOGOTÁ;Estrato 3;28844; 276 
BOGOTÁ;Estrato 4;6237; 301 
BOGOTÁ;Estrato 5;1392; 305 
BOGOTÁ;Estrato 6;447; 296 
BOGOTÁ;Sin Estrato;3993; 239 

